Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-10-06,84.75,85.0,84.5,85.0,1600,0.0029498525073746312,0.0029498525073746312,0.0029455102297567446,0.0029498525073746312
2015-10-07,85.0,85.75,85.0,85.75,1400,0.008823529411764706,0.008823529411764706,0.008784829555732811,0.008823529411764706
2015-10-08,86.0,86.5,86.0,86.5,1400,0.008746355685131196,0.008746355685131196,0.008708327891784414,0.008746355685131196
2015-10-09,86.0,86.0,84.0,85.5,2000,-0.011560693641618497,-0.011560693641618497,-0.011628037995119099,-0.005780346820809248
2015-10-12,84.5,85.25,82.0,85.25,8400,-0.0029239766081871343,-0.0029239766081871343,-0.002928259779088334,-0.0029239766081871343
2015-10-13,85.25,85.25,85.25,85.25,0,0.0,0.0,0.0,0.0
2015-10-14,85.25,85.25,85.25,85.25,0,0.0,0.0,0.0,0.0
2015-10-15,85.25,85.25,85.25,85.25,0,0.0,0.0,0.0,0.0
2015-10-16,86.0,86.0,86.0,86.0,400,0.008797653958944282,0.008797653958944282,0.008759180089881554,0.008797653958944282
2015-10-19,86.0,86.0,86.0,86.0,500,0.0,0.0,0.0,0.0
2015-10-20,85.0,85.0,85.0,85.0,100,-0.011627906976744186,-0.011627906976744186,-0.011696039763191298,-0.011627906976744186
2015-10-21,86.0,86.0,86.0,86.0,300,0.011764705882352941,0.011764705882352941,0.011696039763191236,0.011764705882352941
2015-10-22,85.0,85.0,85.0,85.0,100,-0.011627906976744186,-0.011627906976744186,-0.011696039763191298,-0.011627906976744186
2015-10-26,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-10-27,86.0,86.0,85.75,85.75,200,0.008823529411764706,0.008823529411764706,0.008784829555732811,0.011764705882352941
2015-10-28,85.0,85.0,83.5,83.5,400,-0.026239067055393587,-0.026239067055393587,-0.026589454189239498,-0.008746355685131196
2015-10-29,86.0,86.0,86.0,86.0,300,0.029940119760479042,0.029940119760479042,0.02950066439669784,0.029940119760479042
2015-10-30,86.0,86.0,86.0,86.0,0,0.0,0.0,0.0,0.0
2015-11-02,86.0,86.0,86.0,86.0,0,0.0,0.0,0.0,0.0
2015-11-03,82.25,83.5,82.25,83.5,2200,-0.029069767441860465,-0.029069767441860465,-0.02950066439669799,-0.029069767441860465
2015-11-04,85.0,85.0,85.0,85.0,5500,0.017964071856287425,0.017964071856287425,0.017804624633506686,0.017964071856287425
2015-11-05,85.5,85.5,83.0,83.0,4700,-0.023529411764705882,-0.023529411764705882,-0.02381064869371856,0.0058823529411764705
2015-11-06,83.0,83.0,83.0,83.0,0,0.0,0.0,0.0,0.0
2015-11-09,83.0,83.0,83.0,83.0,0,0.0,0.0,0.0,0.0
2015-11-10,85.75,85.75,85.75,85.75,400,0.03313253012048193,0.03313253012048193,0.03259547824945134,0.03313253012048193
2015-11-11,82.5,82.5,81.0,81.0,4400,-0.05539358600583091,-0.05539358600583091,-0.056986931373610515,-0.037900874635568516
2015-11-12,81.0,81.0,81.0,81.0,0,0.0,0.0,0.0,0.0
2015-11-13,81.0,83.0,80.75,83.0,900,0.024691358024691357,0.024691358024691357,0.024391453124159267,0.024691358024691357
2015-11-16,86.0,86.0,86.0,86.0,700,0.03614457831325301,0.03614457831325301,0.03550668845690982,0.03614457831325301
2015-11-17,86.25,86.5,86.25,86.5,2400,0.005813953488372093,0.005813953488372093,0.005797117684325915,0.005813953488372093
2015-11-18,84.0,84.0,84.0,84.0,200,-0.028901734104046242,-0.028901734104046242,-0.029327615094520063,-0.028901734104046242
2015-11-19,84.0,84.0,84.0,84.0,0,0.0,0.0,0.0,0.0
2015-11-20,84.5,85.0,84.5,85.0,1500,0.011904761904761904,0.011904761904761904,0.011834457647002798,0.011904761904761904
2015-11-23,83.0,83.75,82.75,83.75,2900,-0.014705882352941176,-0.014705882352941176,-0.014815085785140587,-0.014705882352941176
2015-11-24,82.5,82.5,82.0,82.0,3100,-0.020895522388059702,-0.020895522388059702,-0.021116923440922697,-0.014925373134328358
2015-11-25,82.0,82.0,82.0,82.0,0,0.0,0.0,0.0,0.0
