sector,industry,symbol,ticker,bb_name
Consumer Cyclical,Auto Parts,000589.SZ,000589.SZ,000589_CH
Technology,Solar,000591.SZ,000591.SZ,000591_CH
Healthcare,Drug Manufacturers—Specialty & Generic,000597.SZ,000597.SZ,000597_CH
Utilities,Utilities—Regulated Electric,000601.SZ,000601.SZ,000601_CH
Consumer Defensive,Packaged Foods,000639.SZ,000639.SZ,000639_CH
Communication Services,Broadcasting,000665.SZ,000665.SZ,000665_CH
Utilities,Utilities—Diversified,000690.SZ,000690.SZ,000690_CH
Technology,Communication Equipment,000733.SZ,000733.SZ,000733_CH
Consumer Defensive,Farm Products,000735.SZ,000735.SZ,000735_CH
Utilities,Utilities—Renewable,000791.SZ,000791.SZ,000791_CH
Industrials,Infrastructure Operations,000828.SZ,000828.SZ,000828_CH
Consumer Defensive,Beverages—Non-Alcoholic,000848.SZ,000848.SZ,000848_CH
Technology,Communication Equipment,000851.SZ,000851.SZ,000851_CH
Industrials,Specialty Industrial Machinery,000862.SZ,000862.SZ,000862_CH
Real Estate,Real Estate Services,000863.SZ,000863.SZ,000863_CH
Consumer Cyclical,Department Stores,000882.SZ,000882.SZ,000882_CH
Utilities,Utilities—Renewable,000883.SZ,000883.SZ,000883_CH
Consumer Cyclical,Auto Parts,000887.SZ,000887.SZ,000887_CH
Consumer Defensive,Packaged Foods,000895.SZ,000895.SZ,000895_CH
Real Estate,Real Estate—Development,000918.SZ,000918.SZ,000918_CH
Consumer Cyclical,Textile Manufacturing,002015.SZ,002015.SZ,002015_CH
Technology,Software—Infrastructure,002017.SZ,002017.SZ,002017_CH
Technology,Electronic Components,002025.SZ,002025.SZ,002025_CH
Communication Services,Advertising Agencies,002027.SZ,002027.SZ,002027_CH
Industrials,Engineering & Construction,002062.SZ,002062.SZ,002062_CH
Communication Services,Publishing,002181.SZ,002181.SZ,002181_CH
Consumer Cyclical,Department Stores,002251.SZ,002251.SZ,002251_CH
Technology,Software—Application,002279.SZ,002279.SZ,002279_CH
Consumer Defensive,Farm Products,002299.SZ,002299.SZ,002299_CH
Basic Materials,Paper & Paper Products,002310.KS,002310.KS,002310_KS
Consumer Defensive,Farm Products,002321.SZ,002321.SZ,002321_CH
Consumer Cyclical,Auto Parts,002350.KS,002350.KS,002350_KS
Communication Services,Advertising Agencies,002400.SZ,002400.SZ,002400_CH
Technology,Semiconductor Equipment & Materials,002504.SZ,002504.SZ,002504_CH
Consumer Defensive,Packaged Foods,002557.SZ,002557.SZ,002557_CH
Technology,Electronic Components,002579.SZ,002579.SZ,002579_CH
Utilities,Utilities—Renewable,002608.SZ,002608.SZ,002608_CH
