Date,Open,High,Low,Close
2018-07-13,97.0,97.0,93.0,93.0
2018-07-16,93.0,97.0,93.0,93.5
2018-07-17,97.0,98.0,97.0,97.0
2018-07-18,94.25,94.25,94.25,94.25
2018-07-19,95.25,100.0,95.25,100.0
2018-07-20,101.0,105.5,101.0,104.5
2018-07-23,104.0,105.0,104.0,105.0
2018-07-24,103.0,103.0,101.5,101.5
2018-07-25,102.0,102.0,102.0,102.0
2018-07-26,103.0,103.0,103.0,103.0
2018-07-31,103.0,103.0,103.0,103.0
2018-08-01,102.0,102.0,98.75,101.0
2018-08-02,98.0,101.0,98.0,101.0
2018-08-03,101.0,101.0,101.0,101.0
2018-08-06,101.5,101.5,101.5,101.5
2018-08-07,100.0,101.5,97.0,98.0
2018-08-08,98.0,98.0,97.0,98.0
2018-08-09,99.0,101.0,98.0,98.0
2018-08-10,98.0,98.0,98.0,98.0
2018-08-14,98.0,98.0,98.0,98.0
2018-08-15,97.0,104.0,97.0,98.5
2018-08-16,99.0,99.0,99.0,99.0
2018-08-17,99.0,99.0,99.0,99.0
2018-08-20,98.25,98.25,98.25,98.25
2018-08-21,100.0,100.0,98.25,98.25
2018-08-22,99.75,100.5,99.25,99.25
2018-08-23,99.0,99.0,98.25,98.25
2018-08-24,98.25,98.25,98.25,98.25
2018-08-27,97.5,97.5,97.5,97.5
2018-08-28,98.0,99.0,97.75,97.75
2018-08-29,98.0,98.0,96.75,96.75
2018-08-30,96.5,97.0,96.5,96.5
2018-08-31,97.0,97.0,97.0,97.0
2018-09-03,96.75,96.75,96.0,96.0
2018-09-04,96.0,96.0,96.0,96.0
2018-09-05,96.0,96.0,96.0,96.0
2018-09-06,96.0,96.0,96.0,96.0
2018-09-07,95.5,95.75,95.0,95.75
2018-09-10,95.75,95.75,95.75,95.75
2018-09-11,95.75,95.75,95.75,95.75
2018-09-12,95.5,96.0,95.0,95.0
2018-09-13,95.25,95.25,95.0,95.0
2018-09-14,95.0,95.0,95.0,95.0
2018-09-17,95.25,95.25,95.25,95.25
2018-09-18,95.25,95.25,95.0,95.0
2018-09-19,95.25,95.25,95.0,95.25
2018-09-20,95.25,95.25,94.75,94.75
2018-09-21,95.0,95.0,95.0,95.0
2018-09-24,95.0,95.25,95.0,95.0
2018-09-25,95.0,95.25,95.0,95.0
2018-09-26,95.0,95.0,95.0,95.0
2018-09-27,95.0,95.0,95.0,95.0
2018-09-28,95.0,97.0,95.0,97.0
2018-10-01,95.5,95.5,95.0,95.0
2018-10-02,95.25,97.0,95.25,97.0
2018-10-03,97.0,97.0,95.5,97.0
2018-10-04,96.5,96.5,96.5,96.5
2018-10-05,96.75,96.75,95.25,95.25
2018-10-08,96.0,96.25,95.5,95.5
2018-10-09,95.5,95.5,95.5,95.5
2018-10-10,97.0,98.5,97.0,98.5
2018-10-11,95.25,98.0,95.25,96.0
2018-10-12,97.0,97.0,97.0,97.0
2018-10-16,97.0,97.0,97.0,97.0
2018-10-17,95.25,95.25,95.25,95.25
2018-10-18,95.25,95.25,95.25,95.25
2018-10-19,95.5,95.5,95.5,95.5
2018-10-22,95.25,95.25,95.25,95.25
2018-10-24,95.25,95.25,95.25,95.25
2018-10-25,95.5,95.5,95.0,95.0
2018-10-26,96.0,96.0,95.75,95.75
2018-10-29,96.0,97.0,96.0,97.0
2018-10-30,96.5,96.5,96.25,96.25
2018-10-31,95.25,96.5,94.0,96.5
2018-11-01,96.5,96.5,96.5,96.5
2018-11-02,98.75,98.75,98.75,98.75
2018-11-05,98.75,98.75,98.75,98.75
2018-11-06,98.75,98.75,98.75,98.75
2018-11-07,98.75,99.0,98.75,99.0
2018-11-08,99.0,101.0,98.0,100.0
2018-11-09,97.75,97.75,97.75,97.75
2018-11-12,97.75,103.5,97.75,101.5
2018-11-13,100.5,101.5,100.5,101.5
2018-11-14,101.5,102.0,101.5,102.0
2018-11-15,99.25,99.25,97.0,97.0
2018-11-16,96.5,96.5,96.5,96.5
2018-11-19,98.0,98.0,96.5,96.5
2018-11-20,96.5,96.5,96.5,96.5
2018-11-21,96.5,96.5,96.5,96.5
2018-11-22,96.5,96.5,96.5,96.5
2018-11-23,96.5,96.5,96.5,96.5
2018-11-26,96.5,96.5,96.5,96.5
2018-11-27,96.5,96.5,96.5,96.5
2018-11-28,96.5,96.5,96.5,96.5
2018-11-29,96.5,96.5,96.5,96.5
2018-11-30,96.0,96.0,96.0,96.0
2018-12-03,96.0,96.0,96.0,96.0
2018-12-04,96.0,96.0,96.0,96.0
2018-12-06,96.0,96.0,96.0,96.0
